timestamp,test_distance,target_id,x_mm,y_mm,z_mm
1777927888.9564512,1.0m,2,335,312,1080
1777927889.016587,1.0m,2,333,312,1078
1777927889.065034,1.0m,2,342,311,1075
1777927889.116692,1.0m,2,333,311,1077
1777927889.169423,1.0m,2,340,311,1077
1777927889.222611,1.0m,2,343,310,1073
1777927889.2769542,1.0m,2,341,310,1071
1777927889.334864,1.0m,2,342,310,1073
1777927889.388588,1.0m,2,338,312,1078
1777927889.4429739,1.0m,2,336,313,1081
1777927889.492827,1.0m,2,345,312,1079
1777927889.548038,1.0m,2,344,311,1076
1777927889.608223,1.0m,2,338,312,1078
1777927889.656916,1.0m,2,338,312,1079
1777927889.7087958,1.0m,2,336,313,1083
1777927889.765001,1.0m,2,335,311,1076
1777927889.817877,1.0m,2,340,311,1077
1777927889.874465,1.0m,2,337,312,1080
1777927889.9229171,1.0m,2,341,311,1075
1777927889.981193,1.0m,2,337,311,1075
1777927890.031929,1.0m,2,344,311,1076
1777927890.086072,1.0m,2,340,312,1078
1777927890.141483,1.0m,2,347,313,1083
1777927890.190718,1.0m,2,343,311,1076
1777927890.243923,1.0m,2,344,311,1075
1777927890.297915,1.0m,2,342,312,1079
1777927890.354442,1.0m,2,345,312,1078
1777927890.4099898,1.0m,2,339,311,1077
1777927890.458693,1.0m,2,343,311,1076
1777927890.515511,1.0m,2,341,312,1080
1777927890.573644,1.0m,2,343,312,1080
1777927890.620865,1.0m,2,342,311,1075
1777927890.6753511,1.0m,2,336,313,1081
1777927890.7286441,1.0m,2,339,313,1081
1777927890.7815151,1.0m,2,344,311,1077
1777927890.838368,1.0m,2,335,313,1082
1777927890.88914,1.0m,2,339,312,1079
1777927890.942444,1.0m,2,342,312,1078
1777927890.997484,1.0m,2,347,311,1075
1777927891.049767,1.0m,2,344,310,1072
1777927891.108394,1.0m,2,336,310,1072
1777927891.1566541,1.0m,2,340,310,1073
1777927891.2098439,1.0m,2,341,310,1072
1777927891.263942,1.0m,2,344,312,1080
1777927891.317861,1.0m,2,345,311,1075
1777927891.376075,1.0m,2,343,311,1076
1777927891.423299,1.0m,2,337,311,1075
1777927891.4811242,1.0m,2,341,310,1074
1777927891.533608,1.0m,2,342,309,1073
1777927891.5894341,1.0m,2,340,311,1071
1777927891.647202,1.0m,2,340,311,1077
1777927891.695841,1.0m,2,342,311,1075
1777927891.7586272,1.0m,2,345,314,1087
1777927891.823036,1.0m,2,338,315,1089
1777927891.8563251,1.0m,2,341,311,1076
1777927891.9089642,1.0m,2,343,310,1072
1777927891.963722,1.0m,2,343,312,1078
1777927892.0199769,1.0m,2,335,311,1076
1777927892.0755358,1.0m,2,341,310,1072
1777927892.1250172,1.0m,2,338,314,1086
1777927892.182354,1.0m,2,341,312,1079
1777927892.2331111,1.0m,2,343,312,1078
1777927892.2878778,1.0m,2,338,313,1083
1777927892.343693,1.0m,2,340,311,1077
1777927892.391156,1.0m,2,333,311,1077
1777927892.448225,1.0m,2,341,311,1076
1777927892.500749,1.0m,2,337,310,1073
1777927892.553809,1.0m,2,338,311,1075
1777927892.612811,1.0m,2,342,311,1075
1777927892.6623008,1.0m,2,335,311,1076
